time,id_probabilities1,id_probabilities2,id_probabilities3
0.000,1.000e+00,1.000e+00,7.180e-01
0.040,1.000e+00,1.000e+00,7.236e-01
0.080,1.000e+00,1.000e+00,7.128e-01
0.120,1.000e+00,1.000e+00,7.275e-01
0.160,1.000e+00,1.000e+00,7.244e-01
0.200,1.000e+00,1.000e+00,7.049e-01
0.240,1.000e+00,1.000e+00,7.333e-01
0.280,1.000e+00,1.000e+00,7.449e-01
0.320,1.000e+00,1.000e+00,7.689e-01
0.360,1.000e+00,1.000e+00,7.366e-01
0.400,1.000e+00,1.000e+00,7.170e-01
0.440,1.000e+00,1.000e+00,7.019e-01
0.480,1.000e+00,1.000e+00,7.605e-01
0.520,1.000e+00,1.000e+00,7.338e-01
0.560,1.000e+00,1.000e+00,7.320e-01
0.600,1.000e+00,1.000e+00,7.672e-01
0.640,1.000e+00,1.000e+00,7.201e-01
0.680,1.000e+00,1.000e+00,6.863e-01
0.720,1.000e+00,1.000e+00,7.079e-01
0.760,1.000e+00,1.000e+00,7.111e-01
0.800,1.000e+00,1.000e+00,7.244e-01
0.840,1.000e+00,1.000e+00,7.431e-01
0.880,1.000e+00,1.000e+00,7.271e-01
0.920,1.000e+00,1.000e+00,7.187e-01
0.960,1.000e+00,1.000e+00,7.146e-01
1.000,1.000e+00,1.000e+00,7.378e-01
1.040,1.000e+00,1.000e+00,7.264e-01
1.080,1.000e+00,1.000e+00,7.183e-01
1.120,1.000e+00,1.000e+00,7.155e-01
1.160,1.000e+00,1.000e+00,6.837e-01
1.200,1.000e+00,1.000e+00,6.769e-01
1.240,1.000e+00,1.000e+00,6.931e-01
1.280,1.000e+00,1.000e+00,7.090e-01
1.320,1.000e+00,1.000e+00,7.168e-01
1.360,1.000e+00,1.000e+00,7.006e-01
1.400,1.000e+00,1.000e+00,7.214e-01
1.440,1.000e+00,1.000e+00,7.019e-01
1.480,1.000e+00,1.000e+00,7.210e-01
1.520,1.000e+00,1.000e+00,7.230e-01
1.560,1.000e+00,1.000e+00,7.342e-01
1.600,1.000e+00,1.000e+00,6.954e-01
1.640,1.000e+00,1.000e+00,7.080e-01
1.680,1.000e+00,1.000e+00,6.960e-01
1.720,1.000e+00,1.000e+00,7.064e-01
1.760,1.000e+00,1.000e+00,7.025e-01
1.800,1.000e+00,1.000e+00,7.137e-01
1.840,1.000e+00,1.000e+00,7.209e-01
1.880,1.000e+00,1.000e+00,7.404e-01
1.920,1.000e+00,1.000e+00,7.571e-01
1.960,1.000e+00,1.000e+00,7.665e-01
2.000,1.000e+00,1.000e+00,7.068e-01
2.040,1.000e+00,1.000e+00,7.167e-01
2.080,1.000e+00,1.000e+00,7.230e-01
2.120,1.000e+00,1.000e+00,7.224e-01
2.160,1.000e+00,1.000e+00,7.287e-01
2.200,1.000e+00,1.000e+00,7.365e-01
2.240,1.000e+00,1.000e+00,7.224e-01
2.280,1.000e+00,1.000e+00,7.713e-01
2.320,1.000e+00,1.000e+00,7.507e-01
2.360,1.000e+00,1.000e+00,7.610e-01
2.400,1.000e+00,1.000e+00,7.508e-01
2.440,1.000e+00,1.000e+00,7.008e-01
2.480,1.000e+00,1.000e+00,7.089e-01
2.520,1.000e+00,1.000e+00,7.050e-01
2.560,1.000e+00,1.000e+00,7.146e-01
2.600,1.000e+00,1.000e+00,6.980e-01
2.640,1.000e+00,1.000e+00,7.153e-01
2.680,1.000e+00,1.000e+00,7.198e-01
2.720,1.000e+00,1.000e+00,7.255e-01
2.760,1.000e+00,1.000e+00,7.171e-01
2.800,1.000e+00,1.000e+00,7.194e-01
2.840,1.000e+00,1.000e+00,7.242e-01
2.880,1.000e+00,1.000e+00,7.161e-01
2.920,1.000e+00,1.000e+00,7.040e-01
2.960,1.000e+00,1.000e+00,7.294e-01
3.000,1.000e+00,1.000e+00,7.138e-01
3.040,1.000e+00,1.000e+00,7.125e-01
3.080,1.000e+00,1.000e+00,7.079e-01
3.120,1.000e+00,1.000e+00,7.267e-01
3.160,1.000e+00,1.000e+00,7.290e-01
3.200,1.000e+00,1.000e+00,7.192e-01
3.240,1.000e+00,1.000e+00,6.874e-01
3.280,1.000e+00,1.000e+00,7.169e-01
3.320,1.000e+00,1.000e+00,7.240e-01
3.360,1.000e+00,1.000e+00,7.376e-01
3.400,1.000e+00,1.000e+00,7.101e-01
3.440,1.000e+00,1.000e+00,7.243e-01
3.480,1.000e+00,1.000e+00,7.198e-01
3.520,1.000e+00,1.000e+00,7.205e-01
3.560,1.000e+00,1.000e+00,7.149e-01
3.600,1.000e+00,1.000e+00,7.146e-01
3.640,1.000e+00,1.000e+00,7.342e-01
3.680,1.000e+00,1.000e+00,7.205e-01
3.720,1.000e+00,1.000e+00,7.131e-01
3.760,1.000e+00,1.000e+00,7.273e-01
3.800,1.000e+00,1.000e+00,7.147e-01
3.840,1.000e+00,1.000e+00,7.200e-01
3.880,1.000e+00,1.000e+00,7.342e-01
3.920,1.000e+00,1.000e+00,7.178e-01
3.960,1.000e+00,1.000e+00,7.192e-01
4.000,1.000e+00,1.000e+00,7.204e-01
