time,x1,y1,x2,y2,x3,y3
4.520,983.768,337.120,875.287,53.979,836.487,277.550
4.560,983.568,339.146,875.501,53.926,839.873,274.060
4.600,983.045,341.573,876.378,53.683,843.506,271.648
4.640,982.709,342.195,879.454,52.631,845.345,270.350
4.680,982.411,343.081,880.216,52.264,849.155,268.183
4.720,982.452,343.537,880.201,51.931,850.133,267.697
4.760,982.483,344.346,879.119,51.921,851.721,266.724
4.800,982.356,344.821,879.119,51.921,852.645,266.006
4.840,982.345,344.988,879.119,51.921,854.157,264.918
4.880,982.447,346.273,879.817,51.674,857.318,262.342
4.920,982.527,348.727,879.643,51.591,858.600,261.443
4.960,982.907,350.003,879.643,51.591,859.516,260.978
5.000,983.793,351.000,879.018,51.899,861.210,259.846
5.040,984.376,352.489,879.018,51.899,863.773,257.990
5.080,984.881,353.361,879.018,51.899,866.514,255.772
5.120,985.406,353.898,880.966,51.370,867.363,255.444
5.160,986.377,355.956,882.504,50.973,869.129,254.095
5.200,986.940,356.868,882.659,50.906,869.811,253.625
5.240,987.455,357.736,882.399,50.930,870.877,252.833
5.280,987.750,359.022,882.558,51.056,872.123,251.627
5.320,988.144,360.430,882.609,51.458,872.820,251.136
5.360,988.488,361.276,882.733,51.572,873.631,250.514
5.400,989.074,362.775,883.603,51.780,875.957,248.248
5.440,989.312,364.078,883.446,51.878,876.377,246.328
5.480,989.003,365.168,883.494,52.177,875.587,246.426
5.520,987.367,368.583,884.078,52.297,876.610,243.718
5.560,986.309,372.885,884.035,52.342,877.611,241.383
5.600,986.562,376.968,885.083,52.116,878.784,239.022
5.640,987.102,380.661,884.960,52.178,879.111,238.504
5.680,987.279,383.114,885.305,52.112,880.198,236.627
5.720,987.667,385.720,885.139,52.131,880.884,235.153
5.760,988.678,390.165,885.450,52.000,881.587,234.313
5.800,988.765,391.892,885.896,51.831,882.352,232.480
5.840,989.141,393.529,886.356,51.724,882.983,231.497
5.880,992.390,397.795,886.793,51.684,883.752,229.480
5.920,994.644,402.641,887.521,51.422,884.085,229.310
5.960,995.545,404.525,887.904,51.338,885.162,226.504
6.000,996.120,405.510,888.004,51.388,885.552,226.004
6.040,997.372,407.347,888.017,51.414,886.301,225.368
6.080,998.593,408.824,888.887,51.192,887.126,224.328
6.120,998.968,409.360,888.989,51.177,887.981,223.110
6.160,1000.162,410.682,888.765,51.157,888.437,222.832
6.200,1001.422,412.293,889.815,51.070,888.978,221.769
6.240,1002.120,413.045,889.898,51.089,889.409,221.134
6.280,1002.166,413.084,890.720,51.016,890.333,219.591
6.320,1002.386,413.482,891.561,50.904,890.915,218.682
6.360,1002.377,413.304,891.886,50.937,892.488,213.952
6.400,1002.833,414.112,892.282,50.883,893.303,212.961
6.440,1003.822,416.167,892.627,50.805,894.562,210.549
6.480,1004.033,418.238,892.725,50.807,895.340,209.744
6.520,1004.141,419.421,893.253,50.824,896.109,208.529
6.560,1004.606,421.816,894.389,50.620,896.990,207.247
6.600,1004.710,422.565,894.909,50.428,897.891,205.794
6.640,1004.759,422.476,895.097,50.391,900.067,200.354
6.680,1004.851,423.009,895.835,50.165,900.899,199.460
6.720,1005.857,424.405,896.196,50.168,902.002,198.176
6.760,1007.754,424.765,896.765,50.126,902.958,197.373
6.800,1008.817,424.850,898.595,49.396,903.827,195.757
6.840,1010.288,425.767,901.548,48.542,904.462,194.847
6.880,1011.489,426.606,902.634,48.661,905.312,193.859
6.920,1012.336,427.262,903.329,48.770,905.939,193.220
6.960,1013.279,427.984,903.427,48.857,907.739,189.711
7.000,1015.233,429.049,905.511,48.730,908.432,188.932
7.040,1015.596,429.276,906.551,48.567,908.939,187.856
7.080,1015.573,429.209,907.238,48.504,909.353,187.184
7.120,1016.168,429.539,908.314,48.373,910.220,185.837
7.160,1017.363,430.390,908.138,48.395,910.971,184.746
7.200,1019.868,431.535,908.338,48.407,911.317,184.191
7.240,1020.808,431.653,908.624,48.358,911.544,183.976
7.280,1021.426,431.766,909.413,48.287,912.656,181.888
7.320,1022.125,431.835,909.908,48.229,913.289,181.257
7.360,1023.096,432.245,909.996,48.250,914.254,180.020
7.400,1023.759,432.505,910.776,48.224,916.377,175.104
7.440,1024.576,432.667,911.283,48.192,917.734,172.960
7.480,1025.167,433.080,912.668,48.182,918.611,171.356
7.520,1025.167,433.080,913.870,48.077,920.384,168.863
7.560,1025.077,432.993,916.941,47.792,921.543,167.240
7.600,1024.660,432.530,917.578,47.781,922.394,165.326
7.640,1024.605,432.443,918.229,47.812,922.972,164.449
7.680,1024.605,432.443,919.200,47.682,924.007,162.628
7.720,1024.605,432.443,920.470,47.553,925.179,161.415
7.760,1024.673,432.525,922.644,47.405,926.920,158.154
7.800,1024.673,432.525,922.897,47.346,927.598,157.609
7.840,1024.993,432.366,923.519,47.457,928.357,156.231
7.880,1025.767,432.124,923.496,47.544,929.691,154.196
7.920,1025.892,432.426,924.822,47.531,931.181,151.040
7.960,1026.495,432.575,925.057,47.580,932.312,149.017
8.000,1026.583,432.460,925.690,47.579,933.458,147.032
8.040,1025.894,432.382,926.659,47.674,933.694,146.841
8.080,1025.565,432.321,928.354,47.713,934.177,146.667
8.120,1025.565,432.321,928.895,47.779,935.031,145.596
8.160,1025.565,432.321,931.341,48.023,935.659,144.532
8.200,1025.565,432.321,931.812,48.090,936.042,143.852
8.240,1025.469,432.304,933.167,48.100,936.653,143.138
8.280,1025.469,432.304,933.674,48.178,937.385,142.257
8.320,1025.586,432.408,934.660,48.333,938.018,141.834
8.360,1026.915,435.224,937.464,48.307,938.876,141.317
8.400,1027.698,437.109,938.017,48.337,938.790,141.073
8.440,1029.984,439.706,939.044,48.487,939.137,140.916
8.480,1032.183,441.305,939.375,48.564,939.256,140.891
8.520,1036.122,444.311,939.570,48.584,939.744,140.427
8.560,1036.733,444.693,939.941,48.641,940.330,139.897
8.600,1038.101,445.625,940.555,48.640,940.383,140.001
8.640,1038.485,445.867,941.096,48.740,940.689,139.658
8.680,1040.199,446.848,941.731,48.879,940.612,139.922
8.720,1041.070,447.523,942.232,48.928,941.698,137.819
8.760,1041.798,448.047,942.811,48.938,941.561,138.371
8.800,1043.696,448.769,943.562,49.064,942.214,137.152
8.840,1043.921,448.856,943.804,49.159,942.320,137.306
8.880,1045.430,449.952,944.096,49.120,942.743,136.477
8.920,1047.594,451.373,944.342,49.113,943.108,135.679
8.960,1049.255,452.378,944.464,49.113,944.070,133.938
9.000,1050.827,453.231,945.778,49.222,944.178,133.583
9.040,1051.761,453.474,945.637,49.222,944.551,132.769
9.080,1052.393,453.542,945.568,49.233,945.057,131.861
9.120,1053.145,453.836,947.349,49.311,945.542,130.473
9.160,1053.257,453.882,947.514,49.311,945.984,129.286
9.200,1053.569,454.098,948.253,49.234,946.431,128.612
9.240,1054.935,454.683,948.753,49.118,947.635,125.774
9.280,1056.130,455.470,948.722,49.040,948.087,124.619
9.320,1056.377,455.667,949.661,49.011,948.377,123.684
9.360,1057.321,456.148,949.869,49.030,948.955,122.558
9.400,1057.539,456.310,949.707,48.233,949.434,121.304
9.440,1059.170,457.236,950.079,47.983,949.654,120.923
9.480,1060.071,457.766,950.691,47.689,949.757,120.478
9.520,1061.913,458.833,950.956,47.662,950.132,119.785
9.560,1063.368,460.184,951.696,47.287,955.152,114.547
9.600,1063.936,460.429,952.201,47.201,957.690,114.102
9.640,1064.264,460.425,952.589,47.087,958.628,113.708
9.680,1064.742,460.928,953.972,46.849,960.942,112.647
9.720,1065.628,461.542,954.315,46.720,963.056,111.785
9.760,1066.617,462.047,954.545,46.563,967.312,110.775
9.800,1066.694,462.161,955.629,46.310,969.593,110.518
9.840,1068.109,463.172,955.880,46.074,971.079,110.281
9.880,1069.301,463.354,956.451,45.842,973.518,109.831
9.920,1069.689,462.816,957.541,45.538,974.229,109.727
9.960,1069.812,462.274,957.863,45.217,975.359,109.373
10.000,1070.727,462.098,959.650,44.959,976.136,109.136
10.040,1071.578,462.147,960.228,44.915,977.648,108.729
10.080,1072.160,462.129,960.621,44.667,981.119,107.583
10.120,1072.263,462.187,960.691,44.552,982.540,107.292
10.160,1073.716,462.420,963.356,44.066,983.495,106.741
10.200,1074.464,462.491,963.796,43.844,984.692,106.518
10.240,1074.988,462.705,966.484,43.223,986.544,105.839
10.280,1076.191,463.006,966.470,43.192,987.611,105.475
10.320,1076.718,463.237,966.601,42.853,988.612,105.037
10.360,1078.702,462.548,966.567,42.403,990.245,104.379
10.400,1080.812,461.589,966.567,42.403,991.800,103.778
10.440,1082.571,460.881,966.567,42.403,994.164,103.050
10.480,1083.296,460.832,967.446,42.212,994.810,102.894
10.520,1084.960,460.622,967.858,42.047,995.349,102.822
10.560,1084.833,460.480,969.142,41.926,1000.346,101.633
10.600,1085.014,460.411,969.529,42.018,1000.765,101.577
10.640,1086.373,460.005,969.732,42.063,1005.790,102.082
10.680,1086.546,460.007,969.906,42.051,1006.750,102.129
10.720,1088.352,460.352,970.276,42.045,1022.165,104.145
10.760,1088.998,460.571,970.584,42.089,1023.616,104.772
10.800,1090.583,460.710,970.940,42.048,1023.866,105.141
10.840,1091.222,460.677,971.465,42.167,1024.645,105.385
10.880,1092.374,460.437,972.348,42.339,1026.775,105.825
10.920,1095.014,459.336,973.498,42.593,1026.685,105.573
10.960,1096.995,458.921,973.498,42.593,1027.623,105.570
11.000,1097.911,458.470,973.328,42.272,1028.191,106.052
11.040,1098.448,458.285,973.267,42.183,1028.772,106.336
11.080,1099.392,457.929,973.204,42.091,1029.332,106.559
11.120,1100.411,457.584,973.691,41.998,1029.895,106.694
11.160,1100.898,457.483,973.785,41.924,1030.479,106.865
11.200,1101.949,457.206,973.976,41.901,1032.704,107.303
11.240,1102.059,457.190,974.337,41.945,1034.016,107.708
11.280,1102.935,456.986,974.337,41.945,1034.995,108.106
11.320,1104.151,455.044,974.230,41.952,1035.688,108.362
11.360,1104.963,451.435,975.302,41.973,1038.295,108.879
11.400,1105.410,446.627,976.727,42.230,1041.321,109.796
11.440,1106.586,442.566,981.944,43.975,1042.382,110.150
11.480,1107.838,438.274,982.709,44.300,1043.980,110.863
11.520,1108.610,435.868,985.853,44.733,1045.034,111.409
11.560,1110.130,431.765,987.842,45.093,1046.973,111.890
11.600,1110.758,430.072,989.481,45.435,1048.505,112.387
11.640,1110.928,429.912,993.744,46.554,1049.339,112.954
